Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.43
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.45
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.46
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.48
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.50
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.51
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.53
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.55
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.56
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.58
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.60
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.61
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.63
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.65
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.66
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.68
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.70
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.71
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.73
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.75
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.76
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.78
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.80
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.81
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.83
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.85
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.86
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.88
Car X: 70.00, Car Y: 73.00, Rotation: -90.00, Floor: 0, simTime : 1.90
