Car X: 534.82, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.07
Car X: 528.99, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.08
Car X: 528.99, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.10
Car X: 528.99, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.12
Car X: 523.16, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.13
Car X: 516.86, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.15
Car X: 511.02, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.17
Car X: 505.19, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.19
Car X: 499.35, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.20
Car X: 493.52, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.22
Car X: 493.52, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.24
Car X: 493.52, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.25
Car X: 493.52, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.27
Car X: 493.52, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.29
Car X: 493.52, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.30
Car X: 487.69, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.32
Car X: 487.69, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.34
Car X: 481.55, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.35
Car X: 481.55, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.37
Car X: 481.55, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.39
Car X: 475.71, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.40
Car X: 469.88, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.42
Car X: 464.04, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.44
Car X: 458.21, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.45
Car X: 458.21, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.47
Car X: 458.21, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.49
Car X: 452.38, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.50
Car X: 446.54, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.52
Car X: 446.54, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.54
Car X: 446.54, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.55
Car X: 446.54, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.57
Car X: 440.71, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.59
Car X: 440.71, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.60
Car X: 434.88, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.62
Car X: 434.88, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.64
Car X: 429.04, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.65
Car X: 429.04, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.67
Car X: 423.21, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.69
Car X: 423.21, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.70
Car X: 423.21, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.72
Car X: 423.21, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.74
Car X: 417.25, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.75
Car X: 417.25, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.77
Car X: 409.93, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.79
Car X: 409.93, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.81
Car X: 404.10, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.83
Car X: 404.10, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.84
Car X: 398.27, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.86
Car X: 398.27, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.88
Car X: 392.43, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.89
Car X: 392.43, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.91
Car X: 386.60, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.93
Car X: 380.77, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.94
Car X: 374.93, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.96
Car X: 368.34, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 19.98
Car X: 362.50, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.00
Car X: 362.50, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.01
Car X: 356.67, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.03
Car X: 356.67, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.05
Car X: 350.83, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.06
Car X: 350.83, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.08
Car X: 344.41, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.10
Car X: 344.41, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.11
Car X: 344.41, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.13
Car X: 344.41, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.15
Car X: 338.58, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.16
Car X: 332.74, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.18
Car X: 326.91, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.20
Car X: 321.08, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.21
Car X: 315.24, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.23
Car X: 315.24, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.25
Car X: 309.41, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.26
Car X: 309.41, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.28
Car X: 303.58, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.30
Car X: 303.58, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.31
Car X: 303.58, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.33
Car X: 297.74, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.35
Car X: 291.91, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.36
Car X: 286.07, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.38
Car X: 279.70, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.40
Car X: 273.36, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.42
Car X: 267.52, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.43
Car X: 261.69, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.45
Car X: 255.86, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.47
Car X: 250.02, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.48
Car X: 244.19, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.50
Car X: 244.19, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.52
Car X: 244.19, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.53
Car X: 244.19, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.55
Car X: 244.19, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.57
Car X: 244.19, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.58
