Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 7.02
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 7.03
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 7.05
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 7.07
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 7.08
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 7.10
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 7.12
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 7.13
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 7.15
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 7.17
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 7.18
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 7.20
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 7.22
Car X: 318.07, Car Y: 208.90, Rotation: 90.00, Floor: 0, simTime : 7.23
Car X: 318.07, Car Y: 216.40, Rotation: 0.00, Floor: 0, simTime : 7.25
Car X: 318.07, Car Y: 223.90, Rotation: 0.00, Floor: 0, simTime : 7.27
Car X: 318.07, Car Y: 231.44, Rotation: 0.00, Floor: 0, simTime : 7.28
Car X: 318.07, Car Y: 238.95, Rotation: 0.00, Floor: 0, simTime : 7.30
Car X: 318.07, Car Y: 246.45, Rotation: 0.00, Floor: 0, simTime : 7.32
Car X: 318.07, Car Y: 246.45, Rotation: 0.00, Floor: 0, simTime : 7.33
Car X: 318.07, Car Y: 246.45, Rotation: 0.00, Floor: 0, simTime : 7.35
Car X: 318.07, Car Y: 246.45, Rotation: 0.00, Floor: 0, simTime : 7.37
Car X: 318.07, Car Y: 246.45, Rotation: 0.00, Floor: 0, simTime : 7.38
Car X: 318.07, Car Y: 246.45, Rotation: 0.00, Floor: 0, simTime : 7.40
Car X: 318.07, Car Y: 246.45, Rotation: 0.00, Floor: 0, simTime : 7.42
Car X: 318.07, Car Y: 246.45, Rotation: 0.00, Floor: 0, simTime : 7.43
Car X: 318.07, Car Y: 246.45, Rotation: 0.00, Floor: 0, simTime : 7.45
Car X: 318.07, Car Y: 246.45, Rotation: 0.00, Floor: 0, simTime : 7.47
Car X: 318.07, Car Y: 246.45, Rotation: 0.00, Floor: 0, simTime : 7.48
Car X: 318.07, Car Y: 246.45, Rotation: 0.00, Floor: 0, simTime : 7.50
Car X: 318.07, Car Y: 246.45, Rotation: 0.00, Floor: 0, simTime : 7.52
Car X: 318.07, Car Y: 246.45, Rotation: 0.00, Floor: 0, simTime : 7.53
Car X: 318.07, Car Y: 246.45, Rotation: 0.00, Floor: 0, simTime : 7.55
Car X: 318.07, Car Y: 246.45, Rotation: 0.00, Floor: 0, simTime : 7.57
Car X: 318.07, Car Y: 246.45, Rotation: 0.00, Floor: 0, simTime : 7.58
Car X: 310.57, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.60
Car X: 303.07, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.62
Car X: 295.57, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.63
Car X: 288.07, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.65
Car X: 280.56, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.67
Car X: 273.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.68
Car X: 265.56, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.70
Car X: 258.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.72
Car X: 250.56, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.73
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.75
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.77
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.78
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.80
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.82
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.83
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.85
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.87
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.89
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.90
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.92
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.94
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.95
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.97
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 7.99
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.00
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.02
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.04
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.05
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.07
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.09
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.10
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.12
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.14
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.15
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.17
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.19
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.20
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.22
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.24
Car X: 243.06, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.25
Car X: 250.56, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.27
Car X: 258.06, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.29
Car X: 265.56, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.30
Car X: 273.06, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.32
Car X: 280.56, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.34
Car X: 288.06, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.35
Car X: 295.89, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.37
Car X: 303.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.39
Car X: 311.21, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.40
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.42
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.44
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.45
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.47
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.49
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.50
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.52
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.54
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.55
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.57
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.59
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.60
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.62
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.64
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.65
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.67
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.69
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.70
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.72
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.74
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.75
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.77
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.79
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.80
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.82
Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.84
