Car X: 95.86, Car Y: 210.82, Rotation: 0.00, Floor: 1, simTime : 7.36, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 216.65, Rotation: 0.00, Floor: 1, simTime : 7.38, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 222.48, Rotation: 0.00, Floor: 1, simTime : 7.40, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 228.32, Rotation: 0.00, Floor: 1, simTime : 7.41, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 234.15, Rotation: 0.00, Floor: 1, simTime : 7.43, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 239.99, Rotation: 0.00, Floor: 1, simTime : 7.45, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 245.82, Rotation: 0.00, Floor: 1, simTime : 7.46, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 245.82, Rotation: 0.00, Floor: 1, simTime : 7.48, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 245.82, Rotation: 0.00, Floor: 1, simTime : 7.50, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 245.82, Rotation: 0.00, Floor: 1, simTime : 7.52, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 245.82, Rotation: 0.00, Floor: 1, simTime : 7.53, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 245.82, Rotation: 0.00, Floor: 1, simTime : 7.55, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 245.82, Rotation: 0.00, Floor: 1, simTime : 7.57, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 245.82, Rotation: 0.00, Floor: 1, simTime : 7.59, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 245.82, Rotation: 0.00, Floor: 1, simTime : 7.60, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
Car X: 95.86, Car Y: 245.82, Rotation: 0.00, Floor: 1, simTime : 7.62, EntranceState: 0, EntranceAngle: 0.00, ExitState: 0, ExitAngle: 0.00
